index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,4_10_5_4#8_9_5_2#3_7_7_5#1_2_7_0#6_6_1_0#10_6_10_5#2_9_1_9#7_9_10_6#1_8_3_8#8_2_3_3#4_4_0_0#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,10,4,12,40,29,96.4,Insane
1,8_7_10_8#9_1_7_10#9_4_4_6#3_2_2_0#7_6_5_0#7_1_8_10#9_1_4_2#4_5_3_2#10_6_3_3#6_8_1_5#5_9_0_0#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,10,4,12,40,31,99.6,Insane
2,3_3_4_1#6_8_1_2#10_7_6_6#10_8_3_0#9_1_7_0#9_8_4_5#1_10_10_7#2_5_4_4#8_5_2_2#5_9_6_9#7_3_0_0#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,10,4,12,40,28,91.2,Insane
3,6_3_8_9#5_7_7_9#3_10_8_6#4_3_5_0#2_7_10_0#4_10_6_1#9_5_6_2#4_8_2_10#1_2_9_8#3_7_1_1#5_4_0_0#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,10,4,12,40,33,100,Insane
4,3_3_10_7#6_1_4_7#7_2_9_7#6_2_2_0#4_8_1_0#10_9_1_5#5_10_5_1#9_9_5_10#2_3_3_6#4_4_8_8#8_6_0_0#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,10,4,12,40,28,89.4,Insane
5,4_7_6_7#3_9_9_3#2_2_3_9#5_8_5_8#9_2_2_1#4_8_8_5#7_7_5_4#4_6_6_1#3_1_1_6##,1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_2#1_4#1_4#1_4#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,91.2,Insane
6,4_4_4_1#8_5_6_1#3_7_2_2#7_9_8_9#1_8_6_9#6_7_9_2#8_2_4_3#3_6_5_5#5_3_7_1##,1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_2#1_4#1_4#1_4#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,95,Insane
7,4_7_4_3#9_1_7_5#2_6_2_8#9_7_3_2#1_9_5_6#8_6_5_2#5_9_3_4#1_1_7_3#8_8_4_6##,1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_2#1_4#1_4#1_4#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,100,Insane
8,4_4_4_1#5_5_8_6#2_1_9_3#1_6_3_8#9_8_1_2#6_7_5_9#5_7_4_2#2_3_7_9#3_6_7_8##,1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_2#1_4#1_4#1_4#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,29,100,Insane
9,2_8_5_0#4_0_0_0#8_1_3_2#5_8_1_5##6_4_7_3#7_9_4_3#6_7_6_7#5_2_9_1#1_6_8_3#9_4_2_9#,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#1_0_1_0#1_0_1_0#1_0_1_0#1_0_1_0#1_0_1_0#0_0_0_0,3_0#2_0#3_0#3_0#2_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,12,36,31,100,Insane
