index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,4_8_9_0#3_5_3_9#7_8_8_7#6_2_1_1#0#2_1_2_9#8_7_4_2#4_6_5_9#6_4_1_6#3_7_5_3#5_0_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,89.8,Insane
1,4_4_2_4#9_9_1_8#6_5_9_8#9_5_7_5#1_0_0_0#1_8_0_0#2_2_6_5#3_0_0_0#1_7_4_8#2_6_6_3#7_3_3_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,25,89.8,Insane
2,7_9_9_7#4_9_7_0#3_5_7_8#1_5_1_4#3_3_6_5#4_6_1_0#2_2_1_3#5_6_2_0#0#8_4_8_0#6_8_9_2,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,25,89.8,Insane
3,6_5_2_6#7_1_3_5#5_9_0_0#4_6_3_7#0#7_2_4_2#1_7_3_4#2_9_8_8#1_4_1_9#5_8_6_9#8_3_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,89.8,Insane
4,5_1_9_1#6_6_7_0#4_4_9_3#4_6_9_8#1_0_0_0#5_8_6_7#9_2_2_7#8_7_0_0#4_3_3_5#2_1_0_0#5_2_8_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,89.8,Insane
5,3_5_9_3#7_9_2_3#2_0_0_0#8_2_8_5#4_7_8_5#1_9_4_1#7_9_4_6#4_3_6_1#1_0_0_0#6_5_6_2#7_8_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,89.8,Insane
6,2_6_8_9#1_3_0_0#7_3_4_0#4_2_5_1#3_7_5_2#0#6_1_9_8#8_7_6_5#4_3_9_0#1_4_6_5#2_9_8_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,29,89.8,Insane
7,5_3_9_3#9_4_1_6#0#5_6_2_7#8_4_8_1#1_4_7_0#6_8_7_0#2_8_4_5#7_2_9_6#3_5_3_0#9_1_2_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,30,89.8,Insane
8,9_1_6_1#2_4_5_6#0#6_8_2_3#9_8_9_7#4_2_8_0#2_5_3_0#3_7_4_9#4_1_6_3#7_5_0_0#7_5_8_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,89.8,Insane
9,5_3_5_0#3_3_6_6#7_7_8_1#8_4_4_9#3_0_0_0#5_7_6_7#5_2_9_2#1_4_9_2#8_1_1_9#0#4_6_8_2,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,89.8,Insane
