index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,7_3_1_7#9_5_4_1#9_1_2_3#4_2_5_3#2_6_5_4#7_6_9_9#6_6_8_8#7_8_1_8#3_4_5_2#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_9#0_0#0_0#0_0#0_0#0_0#1_9#0_0#0_0#0_0#0_0,9,4,11,36,32,89.5378,Insane
1,8_9_4_5#3_4_9_2#6_5_4_1#9_5_3_1#1_2_9_7#7_5_8_6#3_7_2_8#3_6_8_6#2_1_7_4#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#1_9#1_8#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,36,92.5378,Insane
2,6_8_6_8#3_5_5_7#9_9_2_4#4_6_4_6#1_8_4_7#2_2_7_5#3_3_9_2#1_7_9_1#1_5_3_8#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#1_2#1_6#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,89.5378,Insane
3,8_1_3_8#6_7_1_4#2_6_3_3#9_1_7_7#9_8_9_9#5_4_4_2#6_7_1_4#5_3_6_8#5_5_2_2#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#1_2#0_0#1_8#0_0#0_0,9,4,11,36,28,92.5378,Insane
4,6_5_1_5#8_7_5_1#2_9_7_9#3_4_8_4#8_7_3_7#3_2_9_9#1_5_6_8#4_3_4_6#1_6_2_2#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#1_7#1_6#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,29,89.5378,Insane
5,5_7_5_1#2_4_2_5#1_7_9_1#9_6_4_2#3_1_8_6#8_3_9_8#4_3_6_4#7_9_6_7#3_2_8_5#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_2#0_0#0_0#0_0#0_0#0_0#0_0#1_5#0_0#0_0#0_0,9,4,11,36,31,92.5378,Insane
6,8_6_6_3#1_4_5_8#6_8_3_7#7_4_9_4#2_7_9_3#9_5_2_1#4_1_3_2#1_2_5_9#8_7_6_5#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#1_4#1_8#0_0#0_0#0_0#0_0,9,4,11,36,31,89.5378,Insane
7,2_3_8_3#1_8_8_6#3_7_9_5#7_6_6_5#7_3_8_2#4_2_2_9#6_1_4_1#9_7_5_9#1_4_5_4#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#1_5#0_0#1_2#0_0#0_0,9,4,11,36,27,92.5378,Insane
8,7_2_7_3#2_1_2_2#5_4_9_8#9_4_1_5#4_3_9_8#3_6_6_9#4_3_7_5#1_6_8_5#7_1_6_8#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#1_7#1_7#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,33,92.5378,Insane
9,9_7_6_2#6_5_1_1#8_1_2_3#2_3_8_1#5_6_4_9#4_7_4_9#5_9_8_4#8_6_7_3#3_2_5_7#0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_7#0_0#0_0#0_0#0_0#0_0#0_0#1_9#0_0#0_0,9,4,11,36,32,92.5378,Insane
