index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
1,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
2,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
3,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
4,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
5,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
6,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
7,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
8,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
9,1_0_0_0#1_1_2_0#1_2_2_3#2_3_3_4#3_4_4_5#4_5_5_6#5_6_6_7#6_7_7_8#9_7_8_8#8_9_9_9#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_1#1_1#0_0,9,4,11,36,22,91.0227,Insane
