index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,1_5_8_4#1_4_2_8#4_1_3_6#6_6_3_0#7_7_2_5#1_7_3_8#7_8_6_2#0#5_4_0_0#2_3_5_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,26,92.5097,Insane
1,6_5_2_0#3_6_0_0#5_1_2_0#1_3_5_7#4_5_0_0#7_3_1_0#2_8_4_7#8_6_3_7#6_2_8_1#4_4_8_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,94.092,Insane
2,5_1_4_4#3_7_7_3#6_2_0_0#3_8_1_6#2_7_6_5#6_1_2_7#2_3_8_0#8_5_1_0#5_4_8_4#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#3_0#0_0#0_0#0_0,8,4,10,32,27,92.5097,Insane
3,6_1_1_0#4_6_3_5#2_6_5_0#8_0_0_0#4_8_5_0#3_4_8_0#7_2_1_0#2_4_7_6#3_1_3_7#2_8_5_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#3_0,8,4,10,32,30,94.092,Insane
4,4_5_3_1#8_7_5_1#1_8_0_0#3_2_2_0#2_2_6_0#7_4_4_1#4_7_8_0#5_8_5_7#6_3_3_6#6_0_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#3_0#0_0#0_0#0_0,8,4,10,32,23,93.0308,Insane
5,8_0_0_0#6_6_4_1#1_5_3_5#3_7_5_7#7_2_1_0#4_3_0_0#4_4_8_0#2_3_6_0#8_2_1_8#2_7_6_5,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,27,94.092,Insane
6,1_2_0_0#3_1_7_4#4_3_6_5#0#3_5_8_2#1_8_8_6#1_7_4_7#6_2_2_3#7_4_0_0#5_6_8_5,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#3_0,8,4,10,32,26,93.092,Insane
7,1_1_4_3#0#5_4_3_2#2_5_1_4#8_6_2_1#3_2_0_0#7_7_6_0#5_8_8_4#3_6_6_8#7_5_7_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0,8,4,10,32,26,88.9003,Insane
8,5_4_1_6#6_2_3_7#2_1_5_8#6_8_0_0#3_0_0_0#2_4_4_5#1_2_4_6#3_0_0_0#8_7_7_1#7_5_8_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,92.9003,Insane
9,6_4_8_7#1_3_0_0#6_2_5_0#2_8_4_4#5_1_4_3#3_2_2_5#1_5_3_8#0#6_1_8_7#6_7_7_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,26,93.092,Insane
