index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,5_0_0_0#7_7_8_0#2_8_8_3#9_6_9_6#3_4_9_2#4_7_9_2#5_0_0_0#3_2_4_0#7_8_3_6#1_5_5_1#6_4_1_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#1_1#0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_5,9,4,11,36,28,94.5378,Insane
1,5_9_4_9#1_6_4_6#6_1_4_2#7_3_8_7#5_7_7_9#2_3_0_0#0#2_8_8_9#5_5_1_0#8_3_6_0#2_1_4_3,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_1#0_0#0_0#1_5#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,29,93.5378,Insane
2,4_2_0_0#8_8_4_5#6_0_0_0#1_9_7_5#3_4_1_0#3_5_7_0#7_8_8_9#2_9_7_5#6_1_9_3#4_6_3_0#2_1_6_2,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#1_7#0_0#0_0#0_0#1_4#0_0#0_0,9,4,11,36,36,94.2822,Insane
3,8_5_1_4#4_4_1_1#3_7_9_8#7_2_0_0#3_0_0_0#7_3_8_2#2_0_0_0#6_8_6_4#3_6_5_9#9_1_5_5#7_6_2_9,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#1_1#0_0#0_0#0_0#0_0#0_0#1_8,9,4,11,36,31,93.7561,Insane
4,5_3_6_6#9_5_4_0#7_8_2_7#4_3_2_3#0#1_0_0_0#2_2_6_8#6_1_5_7#1_8_5_4#1_4_7_3#9_9_8_9,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#1_9#0_0#0_0#0_0#1_5,9,4,11,36,29,93.5378,Insane
5,8_5_5_8#2_5_3_7#2_6_3_9#4_7_6_7#4_7_1_9#9_0_0_0#1_3_6_2#0#4_8_8_4#2_6_9_0#3_1_5_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#1_7#1_8#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,34,93.5378,Insane
6,4_9_6_8#1_6_5_5#5_1_9_3#2_1_0_0#8_0_0_0#3_7_7_3#2_4_3_2#1_2_7_9#5_7_8_0#6_4_6_8#9_4_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_4#0_0#1_3#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,32,94.0216,Insane
7,8_4_0_0#0#2_8_5_3#6_9_0_0#5_8_5_3#1_6_1_9#2_3_8_7#9_6_6_7#2_1_7_1#7_3_9_4#2_5_4_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#1_4#0_0#1_8#0_0,9,4,11,36,30,93.5378,Insane
8,5_9_3_0#1_0_0_0#7_0_0_0#7_3_8_2#5_4_1_1#9_5_2_7#2_9_8_0#8_1_5_4#4_6_7_2#6_8_9_3#4_3_6_6,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#1_2#0_0#0_0#1_2#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,90.7561,Insane
9,9_9_8_1#4_5_3_0#6_7_6_0#9_1_0_0#5_6_8_3#5_4_1_4#9_2_0_0#3_2_4_7#7_6_3_0#2_1_8_0#7_8_5_2,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#1_1#0_0#1_9#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,94.2822,Insane
10,2_1_8_3#7_1_9_5#1_6_4_7#6_8_9_3#2_4_6_5#3_0_0_0#8_0_0_0#9_8_4_4#2_7_1_5#7_9_2_6#5_3_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#1_8#0_0#1_5#0_0#0_0#0_0,9,4,11,36,32,93.7561,Insane
11,1_4_8_1#9_1_3_5#6_3_9_8#2_3_5_7#2_6_0_0#8_7_8_0#7_3_4_1#7_4_0_0#5_0_0_0#6_2_9_9#6_2_5_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#1_8#0_0#0_0#0_0#0_0#1_1#0_0,9,4,11,36,30,94.0216,Insane
12,0#7_5_3_6#3_4_5_0#8_2_1_7#9_6_7_3#6_0_0_0#2_2_8_9#2_4_1_9#4_3_8_5#4_5_6_7#9_1_1_8,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#1_5#0_0#1_7#0_0#0_0,9,4,11,36,30,93.5378,Insane
13,3_2_0_0#6_7_9_5#8_5_5_8#4_1_2_5#3_6_0_0#9_8_1_0#1_7_4_3#9_6_0_0#7_6_3_0#4_4_2_2#9_7_8_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#1_7#0_0#0_0#0_0#0_0#0_0#0_0#1_3,9,4,11,36,27,91.5378,Insane
14,6_3_7_0#3_8_1_4#0#3_7_0_0#8_8_6_0#1_2_1_9#2_5_9_7#5_3_2_9#8_7_2_6#4_4_9_6#5_5_1_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#1_5#1_6#0_0#0_0#0_0#0_0,9,4,11,36,29,93.5378,Insane
15,6_1_9_4#8_7_2_1#2_6_0_0#5_0_0_0#7_3_2_4#3_3_8_6#7_1_9_5#6_0_0_0#1_4_7_9#9_4_2_5#5_8_3_8,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_8#0_0#0_0#0_0#1_6#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,32,94.5378,Insane
index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
16,4_6_9_8#3_5_9_2#8_5_6_7#4_2_3_0#4_1_7_6#5_1_3_7#9_3_2_7#1_4_6_2#9_1_5_8#8_0_0_0#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#1_9#0_0#0_0#0_0#3_0#0_0#1_7#0_0,9,4,11,36,32,96.5182,Insane
17,8_4_3_7#3_9_7_2#2_3_2_4#3_8_0_0#1_8_0_0#9_1_5_8#9_5_1_7#4_0_0_0#6_6_5_9#2_4_7_5#6_1_6_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#3_0#1_8#1_4,9,4,11,36,35,98.0906,Insane
18,2_8_7_1#6_6_6_0#9_4_8_2#2_2_1_7#9_8_1_5#3_9_9_8#4_7_6_0#4_0_0_0#1_0_0_0#3_5_5_3#3_7_5_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_6#0_0#0_0#0_0#0_0#3_0#0_0#0_0#0_0#0_0#1_2,9,4,11,36,27,98.2742,Insane
19,5_4_2_7#3_4_7_6#6_9_0_0#6_7_9_9#2_4_1_5#1_9_0_0#3_6_3_3#2_2_5_8#7_8_4_1#8_5_8_0#1_0_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,1_3#0_0#0_0#0_0#0_0#0_0#0_0#1_3#0_0#3_0#0_0,9,4,11,36,31,97.8719,Insane
20,5_3_8_2#2_3_1_7#5_7_1_3#4_5_6_0#5_9_7_0#6_8_8_6#9_0_0_0#9_4_7_6#4_9_2_0#1_8_0_0#3_1_4_2,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#1_2#1_5#0_0#3_0#0_0,9,4,11,36,40,93.8427,Insane
