index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,8_6_7_4#7_6_0_0#8_5_7_2#3_7_2_0#6_3_2_1#1_1_8_0#4_3_0_0#4_4_5_8#3_5_2_0#6_5_1_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
1,1_8_4_5#8_6_0_0#3_2_5_8#7_6_4_0#7_3_6_3#7_4_1_0#2_7_0_0#1_2_1_5#6_8_3_0#4_2_5_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
2,6_3_8_7#7_2_0_0#2_5_5_3#3_7_2_0#1_8_7_6#5_1_1_0#2_8_0_0#4_4_6_4#3_4_5_0#8_6_1_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,22,83.0849,Very Hard
3,3_7_4_5#1_3_0_0#5_3_4_8#8_2_4_0#5_6_1_7#1_6_6_0#4_2_0_0#3_2_1_8#7_8_2_0#6_5_7_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,24,85.6,Insane
4,5_6_1_8#1_3_0_0#2_7_7_5#5_1_8_0#4_4_6_3#2_3_8_0#2_7_0_0#6_8_6_1#5_4_3_0#2_7_4_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,28,88.6,Insane
5,4_2_5_3#2_7_0_0#2_6_1_8#4_6_5_0#1_3_8_8#1_4_6_0#4_2_0_0#1_7_7_3#8_5_7_0#3_5_6_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,27,88.6,Insane
6,5_6_1_6#6_8_0_0#7_3_7_8#6_5_4_0#2_8_1_2#7_5_4_0#2_5_0_0#2_4_1_3#3_4_1_0#7_8_3_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,27,88.6,Insane
7,8_1_8_2#3_5_0_0#6_6_1_8#5_1_1_0#3_4_7_7#6_2_7_0#4_3_0_0#2_2_4_5#3_4_6_0#5_7_8_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,30,88.6,Insane
8,4_2_8_7#1_6_0_0#6_1_2_4#3_6_7_0#3_4_4_8#5_8_8_0#5_3_0_0#7_5_2_1#2_7_6_0#3_5_1_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,23,88.1211,Insane
9,7_8_2_2#8_4_0_0#3_3_1_6#4_7_4_0#4_3_8_5#8_5_2_0#1_6_0_0#1_7_7_5#2_3_1_0#5_6_6_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,23,88.1211,Insane
10,8_6_7_4#7_6_7_0#8_5_7_0#3_2_8_2#6_3_2_1#1_1_8_0#4_3_0_0#4_4_0_0#3_5_2_5#6_5_1_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,88.6,Insane
11,2_8_6_8#3_7_4_0#1_4_7_0#3_2_8_5#8_6_6_7#1_7_3_0#5_4_0_0#4_5_0_0#1_5_3_1#2_6_2_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
12,4_8_7_8#1_5_8_0#1_7_4_0#8_4_4_1#5_6_2_3#6_3_1_0#6_2_0_0#3_6_0_0#5_7_2_5#2_3_7_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
13,3_6_8_2#3_4_7_0#2_6_5_0#5_7_3_4#2_8_1_2#7_6_5_0#7_3_0_0#4_1_0_0#8_8_1_5#1_4_6_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
14,5_6_1_2#3_2_6_0#4_1_8_0#3_7_1_6#2_3_8_6#7_5_8_0#7_2_0_0#5_1_0_0#7_8_4_3#4_4_5_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,26,85.6,Insane
15,1_7_6_8#3_1_6_0#4_4_8_0#2_2_5_4#6_7_4_2#8_3_6_0#5_8_0_0#1_2_0_0#7_5_7_5#1_3_3_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,21,81.0575,Very Hard
16,1_2_6_2#3_3_6_0#5_1_3_0#4_4_3_4#8_2_8_5#1_6_2_0#5_6_0_0#4_7_0_0#7_8_1_7#5_7_8_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,24,88.6,Insane
17,3_7_4_8#6_6_8_0#8_3_3_0#1_6_1_4#5_8_3_4#7_7_2_0#1_2_0_0#7_2_0_0#5_5_1_2#4_5_6_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,21,81.0575,Very Hard
18,1_4_3_4#8_5_3_0#2_7_5_0#3_4_6_6#8_8_5_4#5_7_6_0#8_2_0_0#6_1_0_0#1_3_7_7#1_2_2_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
19,2_2_7_8#6_1_8_0#1_4_2_0#6_4_3_7#2_8_4_3#1_6_8_0#5_4_0_0#3_7_0_0#1_7_5_3#6_5_5_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,26,88.6,Insane
20,6_7_5_7#3_1_0_0#8_4_7_8#3_4_0_0#8_1_3_0#1_2_4_5#4_3_6_0#2_2_2_0#1_5_8_0#6_5_6_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,85.6,Insane
21,3_7_3_1#4_6_0_0#1_5_8_6#2_2_0_0#8_6_7_0#7_4_6_7#3_1_2_0#8_5_8_0#1_5_4_0#3_5_2_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,28,85.6,Insane
22,7_6_6_2#5_7_0_0#8_6_5_3#3_4_0_0#4_8_3_0#7_1_5_5#8_2_4_0#1_2_7_0#8_6_1_0#2_1_3_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,24,85.6,Insane
23,7_6_1_5#4_8_0_0#7_3_8_6#2_4_0_0#4_5_1_0#3_5_2_3#6_2_4_0#1_6_8_0#1_7_8_0#3_7_2_5,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,28,88.6,Insane
