index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,5_6_4_7#4_0_0_0#6_9_5_1#0#6_3_3_0#1_8_7_8#8_1_8_5#5_7_2_9#3_4_2_9#1_9_6_3#2_2_4_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,28,89.8,Insane
1,3_1_8_1#5_6_6_0#4_6_9_8#7_0_0_0#2_3_8_9#2_5_9_7#5_4_8_0#4_1_3_2#6_0_0_0#7_9_7_4#2_5_3_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,89.8,Insane
2,6_1_9_2#8_9_4_5#4_3_0_0#3_6_5_1#5_9_3_0#6_3_8_7#1_0_0_0#7_8_8_5#6_9_7_7#2_2_1_2#4_4_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,89.8,Insane
3,5_9_4_0#8_2_4_0#1_6_1_7#3_9_3_9#1_8_2_4#1_2_6_0#5_8_5_3#7_2_0_0#7_0_0_0#8_3_6_9#6_5_4_7,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,30,89.8,Insane
4,6_2_1_7#7_4_4_8#1_3_1_0#5_8_9_3#2_0_0_0#2_5_3_4#6_7_9_5#7_8_6_3#4_6_9_1#8_5_0_0#9_2_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,89.8,Insane
5,3_8_6_4#2_2_3_6#9_9_7_2#6_1_4_0#8_7_8_5#5_9_9_3#6_1_7_5#5_0_0_0#8_2_4_3#1_7_4_1#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,89.8,Insane
6,5_6_6_2#7_7_8_3#9_3_9_4#4_6_2_1#1_1_9_0#7_2_8_7#2_8_0_0#1_5_9_6#4_0_0_0#5_3_3_4#8_5_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,26,86.8,Insane
7,1_8_0_0#0#6_9_2_4#3_7_5_6#8_6_5_1#2_9_7_7#4_6_9_0#3_7_5_3#3_1_8_0#2_4_2_8#9_5_4_1,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,29,89.8,Insane
8,4_9_1_2#7_2_5_1#1_5_7_7#5_3_6_3#1_4_9_3#8_9_3_6#4_5_0_0#8_9_0_0#7_2_0_0#6_8_2_0#6_8_4_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,31,89.8,Insane
9,9_7_6_0#5_5_3_9#7_9_0_0#2_5_6_2#3_5_9_2#1_8_4_2#3_8_1_1#3_1_7_4#4_8_0_0#4_7_8_6#6_0_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,9,4,11,36,27,89.8,Insane
