index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,8_8_6_5#4_3_1_1#6_7_5_7#6_6_8_2#0#7_1_4_8#3_4_3_7#2_2_1_5#4_3_5_2#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#2_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,22,86.4364,Insane
1,8_8_6_3#7_6_5_7#5_4_1_3#1_3_2_4#0#1_2_2_1#8_6_5_7#4_8_3_6#7_4_2_5#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#2_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,26,88.9516,Insane
2,3_1_5_2#3_4_7_6#1_2_1_2#5_3_4_5#0#7_4_6_6#7_3_2_8#1_4_8_5#8_6_7_8#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#2_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,27,88.9516,Insane
3,1_7_8_7#6_5_7_2#2_5_3_8#6_8_4_2#0#3_7_4_3#3_5_4_6#2_4_5_1#8_1_6_1#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#2_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,28,88.9516,Insane
4,1_8_4_6#2_4_1_3#5_6_5_4#7_8_8_7#0#3_6_3_2#2_1_1_7#6_4_8_2#3_7_5_5#0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#2_0#0_0#0_0#0_0#0_0#0_0,8,4,10,32,25,88.9516,Insane
5,6_1_1_5#2_1_2_7#3_9_7_6#8_8_4_0#9_8_3_0#5_4_7_0#4_3_9_0#5_4_3_0#6_2_9_5#8_2_6_1#7_0_0_0,1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#1_0_0_0#0_0_0_0#1_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0,9,4,11,36,28,98.4475,Insane
6,3_8_7_3#1_7_4_2#5_9_6_7#4_1_4_0#1_1_4_0#8_7_8_0#9_3_5_0#8_2_5_0#2_3_6_2#9_5_6_9#6_0_0_0,1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#1_0_0_0#0_0_0_0#1_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0,9,4,11,36,28,98.4475,Insane
7,3_7_7_4#4_9_2_7#8_9_8_5#5_4_1_0#6_3_1_0#3_6_4_0#3_5_8_0#9_7_6_0#2_5_9_2#6_2_1_1#8_0_0_0,1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#1_0_0_0#0_0_0_0#1_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0,9,4,11,36,27,98.4475,Insane
8,6_6_4_1#8_2_2_9#1_8_8_3#4_5_5_0#3_8_4_0#7_7_9_0#7_6_1_0#3_2_2_0#3_6_5_4#1_9_7_9#5_0_0_0,1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#1_0_0_0#0_0_0_0#1_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0,9,4,11,36,24,98.4475,Insane
9,4_6_7_3#5_2_1_6#5_9_6_1#3_4_7_0#8_3_5_0#9_7_2_0#1_8_8_0#2_7_2_0#9_9_8_3#4_5_1_4#6_0_0_0,1_1_1_0#0_0_0_0#1_1_1_0#0_0_0_0#1_0_0_0#0_0_0_0#1_0_0_0#0_0_0_0#1_1_1_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0,9,4,11,36,27,98.4475,Insane
index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
10,6_3_1_1#2_1_8_0#3_9_7_6#8_8_5_3#9_2_0_0#5_4_7_0#4_3_9_2#5_4_2_7#6_7_9_0#8_0_0_0#1_6_4_5,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0#0_0,9,4,11,36,26,92.4475,Insane
11,3_7_4_9#8_9_2_0#1_1_7_4#4_1_3_6#9_1_0_0#8_5_7_0#4_6_2_7#8_2_5_3#2_5_6_0#9_0_0_0#6_8_3_5,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0#0_0,9,4,11,36,29,92.4475,Insane
12,9_9_7_5#6_7_3_0#3_1_4_2#1_4_8_1#8_6_0_0#4_9_2_0#8_1_6_9#3_4_6_7#3_2_5_0#7_0_0_0#5_2_5_8,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0#0_0,9,4,11,36,29,92.4475,Insane
13,8_5_7_1#2_3_5_0#6_6_2_8#7_9_6_9#7_3_0_0#4_4_5_0#3_9_8_5#2_1_8_2#4_9_3_0#1_0_0_0#1_6_7_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0#0_0,9,4,11,36,27,92.4475,Insane
14,6_3_5_7#7_3_6_0#2_5_8_1#1_7_5_9#9_9_0_0#3_8_3_0#6_8_1_9#1_6_2_4#4_5_2_0#8_0_0_0#4_7_2_4,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#2_0#0_0,9,4,11,36,27,92.4475,Insane
index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
15,4_6_4_6#0#2_2_7_6#2_8_0_0#5_4_1_5#8_2_3_3#6_7_3_0#1_5_7_0#7_4_1_0#3_5_1_0#8_8_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#2_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,11,32,22,87.236,Insane
16,4_6_7_4#0#3_2_8_5#1_1_0_0#2_5_3_4#5_5_8_2#2_7_6_0#8_8_3_0#6_6_3_0#1_7_7_0#4_1_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#2_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,11,32,21,85.2086,Insane
17,6_5_2_7#0#8_1_3_8#4_4_0_0#3_6_8_3#4_2_1_5#7_7_2_0#5_4_7_0#8_1_6_0#1_3_2_0#5_6_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#2_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,11,32,23,89.2722,Insane
18,3_4_5_2#0#4_4_6_6#6_3_0_0#7_1_7_4#1_5_8_1#1_6_7_0#8_7_8_0#5_5_3_0#2_8_3_0#2_2_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#2_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0#0_0,8,4,11,32,20,83.1904,Very Hard
