index,map,slot_gimmick,stack_gimmick,NumberOfItem,NumberOfSlot,NumberOfStack,MixCount,MinMoves,DifficultyScore,DifficultyLabel
0,8_3_4_2#1_4_3_4#4_7_6_3#6_0_0_0#7_5_2_1#5_0_0_0#2_8_2_1#7_3_8_8#6_5_1_7#5_6_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,25,90.9156,Insane
1,2_7_8_3#6_3_1_3#6_1_8_8#3_0_0_0#6_4_2_4#7_0_0_0#6_5_4_5#5_8_2_2#1_5_4_1#7_7_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,24,90.9156,Insane
2,3_7_4_2#1_3_5_6#5_3_4_8#8_0_0_0#5_6_2_4#7_0_0_0#4_1_6_6#3_1_1_5#7_8_2_2#8_7_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,23,90.4367,Insane
3,6_7_8_5#1_8_5_8#2_5_2_1#4_0_0_0#1_3_7_2#1_0_0_0#4_8_6_3#3_2_7_6#4_5_3_7#4_6_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,28,90.9156,Insane
4,2_8_3_5#2_8_1_3#5_8_4_1#8_0_0_0#5_4_6_3#3_0_0_0#2_6_4_7#7_1_2_5#7_7_6_6#1_4_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,26,90.9156,Insane
5,6_3_6_5#5_6_8_6#3_7_7_3#1_0_0_0#3_7_1_2#4_0_0_0#4_4_8_8#5_5_4_7#2_1_1_2#2_8_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,21,86.3731,Insane
6,4_3_2_8#1_5_5_6#8_1_4_2#6_0_0_0#2_3_5_4#7_0_0_0#1_3_8_3#4_7_5_6#2_6_7_7#8_1_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,25,90.9156,Insane
7,5_8_5_1#3_3_6_7#3_1_4_2#6_0_0_0#4_3_6_7#8_0_0_0#2_1_2_6#4_5_2_7#8_7_8_5#1_4_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,26,90.9156,Insane
8,2_8_7_6#2_1_7_5#4_2_3_4#1_0_0_0#3_6_6_8#8_0_0_0#6_1_4_3#4_5_8_7#2_5_7_3#1_5_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,27,90.9156,Insane
9,6_6_3_7#2_4_8_5#6_4_5_2#8_0_0_0#4_3_6_1#7_0_0_0#5_3_7_1#4_1_8_8#3_7_2_1#2_5_0_0,0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0#0_0_0_0,0_0#0_0#0_0#2_0#0_0#2_0#0_0#0_0#0_0#0_0,8,4,10,32,23,90.4367,Insane
